Symbol,Name,Sector,Price,Price/Earnings(trades at X times the earnings),52 Week High,52 Week Low,52 Week Avg,P/AA %,  52-Week P/AA % Position,Rating,Action
A,Agilent Technologies Inc,Health Care,65.05,27.45,75,49.23,62.115,13.27%,Below 52 Week High ,BETTER,SELL
AAL,American Airlines Group,Industrials,48.6,9.92,59.08,39.21,49.145,23.95%,Above 52 Week Low,GOOD,BUY
AAP,Advance Auto Parts,Consumer Discretionary,109.63,19.54,169.55,78.81,124.18,39.11%,Above 52 Week Low,GOOD,HOLD
AAPL,Apple Inc.,Information Technology,155.15,16.86,180.1,131.12,155.61,18.33%,Above 52 Week Low,BEST,HOLD
ABBV,AbbVie Inc.,Health Care,108.48,19.41,125.86,60.05,92.955,13.81%,Below 52 Week High ,BETTER,HOLD
ABC,AmerisourceBergen Corp,Health Care,91.55,15.54,106.27,71.9,89.085,13.85%,Below 52 Week High ,BETTER,HOLD
ABT,Abbott Laboratories,Health Care,56.27,22.51,64.6,42.28,53.44,12.89%,Below 52 Week High ,BETTER,SELL
ACN,Accenture plc,Information Technology,150.51,25.47,162.6,114.82,138.71,7.44%,Below 52 Week High ,BETTER,SELL
ADBE,Adobe Systems Inc,Information Technology,185.16,52.31,204.45,114.451,159.4505,9.44%,Below 52 Week High ,BETTER,SELL
ADI,"Analog Devices, Inc.",Information Technology,82.68,17.67,98.38,74.65,86.515,10.76%,Above 52 Week Low,BEST,HOLD
ADM,Archer-Daniels-Midland Co,Consumer Staples,41.35,17.45,47.44,38.59,43.015,7.15%,Above 52 Week Low,BEST,HOLD
ADP,Automatic Data Processing,Information Technology,108.25,29.34,125.24,95.5,110.37,13.35%,Above 52 Week Low,BEST,SELL
ADS,Alliance Data Systems,Information Technology,240.6,13.02,278.33,209,243.665,15.12%,Above 52 Week Low,BEST,BUY
ADSK,Autodesk Inc,Information Technology,104.81,-77.07,131.1,81.75,106.425,28.21%,Above 52 Week Low,GOOD,LOOK
AEE,Ameren Corp,Utilities,52.59,20.38,64.89,51.81,58.35,1.51%,Above 52 Week Low,BEST,SELL
AEP,American Electric Power,Utilities,63.38,17.32,78.07,62.69,70.38,1.10%,Above 52 Week Low,BEST,HOLD
AES,AES Corp,Utilities,10.06,9.96,12.05,10,11.025,0.60%,Above 52 Week Low,BETTER,BUY
AET,Aetna Inc,Health Care,178,18.11,194.4,119.51,156.955,8.44%,Below 52 Week High ,BETTER,HOLD
AFL,AFLAC Inc,Financials,83.25,12.24,91.73,68.8,80.265,9.24%,Below 52 Week High ,BETTER,BUY
AGN,"Allergan, Plc",Health Care,164.2,10.65,256.8,160.07,208.435,2.58%,Above 52 Week Low,BEST,BUY
AIG,"American International Group, Inc.",Financials,58.28,23.22,67.3,57.85,62.575,0.74%,Above 52 Week Low,BETTER,SELL
AIV,Apartment Investment & Management,Real Estate,38.21,15.6,46.855,38.85,42.8525,-1.65%,Below 52 Week Low,CAUTION,HOLD
AIZ,Assurant Inc,Financials,85.16,33.27,106.985,85.91,96.4475,-0.87%,Below 52 Week Low,CAUTION,SELL
AJG,Arthur J. Gallagher & Co.,Financials,64.4,21.05,70.55,53.63,62.09,8.72%,Below 52 Week High ,BETTER,SELL
AKAM,Akamai Technologies Inc,Information Technology,62.49,32.55,69.56,44.65,57.105,10.16%,Below 52 Week High ,BETTER,SELL
ALB,Albemarle Corp,Materials,105.18,26.03,144.99,90.35,117.67,16.41%,Above 52 Week Low,BEST,SELL
ALGN,Align Technology,Health Care,220.71,56.59,287.32,92.61,189.965,23.18%,Below 52 Week High ,BETTER,SELL
ALK,Alaska Air Group Inc,Industrials,64.04,9.66,101.43,59.25,80.34,8.08%,Above 52 Week Low,BEST,BUY
ALL,Allstate Corp,Financials,90.06,13.26,105.36,77.73,91.545,15.86%,Above 52 Week Low,BEST,BUY
ALLE,Allegion,Industrials,77.32,21.07,89.81,66.72,78.265,15.89%,Above 52 Week Low,BEST,SELL
ALXN,Alexion Pharmaceuticals,Health Care,108.47,22.18,149.34,96.18,122.76,12.78%,Above 52 Week Low,BEST,SELL
AMAT,Applied Materials Inc,Information Technology,45.75,14.08,60.89,34.58,47.735,32.30%,Above 52 Week Low,GOOD,BUY
AMD,Advanced Micro Devices Inc,Information Technology,11.22,187,15.65,9.7,12.675,15.67%,Above 52 Week Low,BEST,SELL
AME,AMETEK Inc,Industrials,72.05,27.61,78.51,51.31,64.91,8.23%,Below 52 Week High ,BETTER,SELL
AMG,Affiliated Managers Group Inc,Financials,179.11,12.24,216.995,148.81,182.9025,20.36%,Above 52 Week Low,GOOD,BUY
AMGN,Amgen Inc,Health Care,173.12,13.76,201.23,152.16,176.695,13.77%,Above 52 Week Low,BEST,BUY
AMP,Ameriprise Financial,Financials,152.5,12.41,183.9,118.84,151.37,17.07%,Below 52 Week High ,BETTER,BUY
AMT,American Tower Corp A,Real Estate,133.57,20.68,155.28,103.36,129.32,13.98%,Below 52 Week High ,BETTER,SELL
AMZN,Amazon.com Inc,Consumer Discretionary,1350.5,296.16,1498,812.5,1155.25,9.85%,Below 52 Week High ,BETTER,SELL
ANDV,Andeavor,Energy,96.9,18.78,121.71,75.11,98.41,29.01%,Above 52 Week Low,GOOD,HOLD
ANSS,ANSYS,Information Technology,148.84,42.53,164.9,94.52,129.71,9.74%,Below 52 Week High ,BETTER,SELL
ANTM,Anthem Inc.,Health Care,230.57,19.23,267.95,156.81,212.38,13.95%,Below 52 Week High ,BETTER,HOLD
AON,Aon plc,Financials,136.05,20.8,152.78,113.2201,133.00005,10.95%,Below 52 Week High ,BETTER,SELL
AOS,A.O. Smith Corp,Industrials,60.24,27.76,68.39,48.925,58.6575,11.92%,Below 52 Week High ,BETTER,SELL
APA,Apache Corporation,Energy,37.73,-251.53,57.9,38.14,48.02,-1.07%,Below 52 Week Low,CAUTION,LOOK
APC,Anadarko Petroleum Corp,Energy,56.2,-21.29,70,39.96,54.98,19.71%,Below 52 Week High ,BETTER,LOOK
APD,Air Products & Chemicals Inc,Materials,152.8,24.22,175.17,133.6301,154.40005,14.35%,Above 52 Week Low,BEST,SELL
APH,Amphenol Corp,Information Technology,84.44,25.9,93.62,67.26,80.44,9.81%,Below 52 Week High ,BETTER,SELL
APTV,Aptiv Plc,Consumer Discretionary,89.27,69.74,96.91,82.97,89.94,7.59%,Above 52 Week Low,BEST,SELL
ARE,Alexandria Real Estate Equities Inc,Real Estate,114.58,19.03,134.37,106.89,120.63,7.19%,Above 52 Week Low,BEST,HOLD
ARNC,Arconic Inc,Industrials,24.45,20.21,31.17,21.755,26.4625,12.39%,Above 52 Week Low,BEST,SELL
ATVI,Activision Blizzard,Information Technology,65.83,31.8,74.945,38.93,56.9375,12.16%,Below 52 Week High ,BETTER,SELL
AVB,"AvalonBay Communities, Inc.",Real Estate,154.94,17.97,199.52,156.01,177.765,-0.69%,Below 52 Week Low,CAUTION,HOLD
AVGO,Broadcom,Information Technology,229.57,15.94,285.68,202.61,244.145,13.31%,Above 52 Week Low,BEST,HOLD
AVY,Avery Dennison Corp,Materials,110.77,22.11,123.67,78.471,101.0705,10.43%,Below 52 Week High ,BETTER,SELL
AWK,American Water Works Company Inc,Utilities,76.06,26.23,92.37,71.89,82.13,5.80%,Above 52 Week Low,BEST,SELL
AXP,American Express Co,Financials,88.34,15,102.385,75.51,88.9475,16.99%,Above 52 Week Low,BEST,HOLD
AYI,Acuity Brands Inc,Industrials,145.41,18.22,225.36,142,183.68,2.40%,Above 52 Week Low,BEST,HOLD
AZO,AutoZone Inc,Consumer Discretionary,718.57,16.31,797.89,491.13,644.51,9.94%,Below 52 Week High ,BETTER,HOLD
BA,Boeing Company,Industrials,329.66,27.29,361.45,163.69,262.57,8.80%,Below 52 Week High ,BETTER,SELL
BAC,Bank of America Corp,Financials,29.74,16.34,32.67,22.07,27.37,8.97%,Below 52 Week High ,BETTER,HOLD
