Ticker,Date,Open,High,Low,Close*,Volume,
AMD,15-May-19,26.87,27.79,26.73,27.58,27.58,"55,638,300"
AMD,14-May-19,26.53,27.48,26.15,27.32,27.32,"82,980,400"
AMD,13-May-19,26.98,27.23,26.1,26.24,26.24,"99,017,900"
AMD,10-May-19,27.03,28.1,26.93,27.96,27.96,"82,930,100"
AMD,9-May-19,26.7,27.38,26.03,27.21,27.21,"73,150,900"
AMD,8-May-19,26.41,27.71,26.27,27.09,27.09,"65,967,500"
AMD,7-May-19,27.2,27.35,26.21,26.66,26.66,"75,868,800"
AMD,6-May-19,26.72,27.5,26.45,27.42,27.42,"70,344,100"
AMD,3-May-19,28.3,28.42,27.66,28.22,28.22,"55,503,100"
AMD,2-May-19,26.94,28.64,26.61,28.29,28.29,"100,514,800"
AMD,1-May-19,28.95,29.15,26.78,26.81,26.81,"136,066,900"
AMD,30-Apr-19,27.59,27.8,26.94,27.63,27.63,"73,165,900"
AMD,29-Apr-19,27.9,28.14,27.5,27.69,27.69,"44,532,700"
AMD,26-Apr-19,27.66,27.9,27.05,27.88,27.88,"48,827,900"
AMD,25-Apr-19,28.67,28.86,27.36,27.66,27.66,"57,329,700"
AMD,24-Apr-19,28.1,28.85,27.93,28.46,28.46,"51,784,700"
AMD,23-Apr-19,28.18,28.49,27.79,27.97,27.97,"41,777,500"
AMD,22-Apr-19,27.62,28.23,27.39,28.18,28.18,"36,477,300"
AMD,18-Apr-19,27.6,27.88,27.34,27.68,27.68,"39,880,900"
AMD,17-Apr-19,28.21,28.27,27.22,27.49,27.49,"48,240,800"
AMD,16-Apr-19,27.72,28.18,27.49,27.93,27.93,"47,340,100"
AMD,15-Apr-19,27.8,27.84,26.96,27.33,27.33,"40,812,500"
AMD,12-Apr-19,28.21,28.38,27.66,27.85,27.85,"41,048,800"
AMD,11-Apr-19,27.81,28.05,27.46,27.79,27.79,"44,801,200"
AMD,10-Apr-19,27.46,28.12,27.32,27.83,27.83,"64,368,100"
AMD,9-Apr-19,28.24,28.38,27.19,27.24,27.24,"75,539,800"
AMD,8-Apr-19,28.69,28.95,28.18,28.53,28.53,"58,002,500"
AMD,5-Apr-19,29.64,29.69,28.8,28.98,28.98,"65,662,700"
AMD,4-Apr-19,28.88,29.39,28.61,29.09,29.09,"82,191,100"
AMD,3-Apr-19,28.02,29.95,27.88,29.02,29.02,"197,650,500"
AMD,2-Apr-19,26.51,26.8,26.09,26.75,26.75,"53,358,800"
AMD,1-Apr-19,26.42,26.56,25.83,26.36,26.36,"63,000,300"
AMD,29-Mar-19,25.58,25.73,25.25,25.52,25.52,"53,502,800"
AMD,28-Mar-19,25.1,25.56,24.65,25.06,25.06,"64,667,500"
AMD,27-Mar-19,25.7,25.88,24.55,24.89,24.89,"88,585,300"
AMD,26-Mar-19,26.69,26.98,25.46,25.69,25.69,"75,754,100"
AMD,25-Mar-19,26.29,26.99,25.54,25.97,25.97,"78,438,200"
AMD,22-Mar-19,27.54,27.75,26.33,26.37,26.37,"115,323,300"
AMD,21-Mar-19,25.78,28.11,25.71,27.89,27.89,"129,610,300"
AMD,20-Mar-19,26.49,26.88,25.31,25.7,25.7,"151,292,100"
AMD,19-Mar-19,23.6,26.08,23.59,26,26,"156,052,200"
AMD,18-Mar-19,23.3,23.62,23.04,23.25,23.25,"34,731,800"
AMD,15-Mar-19,23.1,23.65,23.01,23.29,23.29,"46,519,900"
AMD,14-Mar-19,23.37,23.49,22.8,22.82,22.82,"42,818,600"
AMD,13-Mar-19,23.66,24.15,23.35,23.38,23.38,"56,705,800"
AMD,12-Mar-19,23.1,23.8,22.78,23.49,23.49,"56,410,600"
AMD,11-Mar-19,22.15,23.08,21.98,22.96,22.96,"54,420,200"
